Total seleccionados:    1,968
En estado terminal:     5
Por descargar/reintentar: 1,963 (modo: reintenta error/download_failed)

[1/1963] TIC 427348923 (label=0) ... WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
error | 0/2 sec | 0.0 MB | 1.6 s
[239/1963] TIC 412961700 (label=0) ... ok | 3/3 sec | 5.8 MB | 5.5 s
[240/1963] TIC 441462736 (label=1) ... ok | 3/3 sec | 5.8 MB | 5.6 s
[241/1963] TIC 141776043 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.1 s
[242/1963] TIC 15692883 (label=1) ... ok | 2/2 sec | 4.0 MB | 3.9 s
[243/1963] TIC 169187982 (label=0) ... ok | 2/2 sec | 3.9 MB | 4.0 s
[244/1963] TIC 102840239 (label=1) ... ok | 3/5 sec | 5.8 MB | 6.1 s
[245/1963] TIC 357972447 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.2 s
[246/1963] TIC 467006627 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.0 s
[247/1963] TIC 420112587 (label=0) ... ok | 3/40 sec | 5.7 MB | 6.7 s
[248/1963] TIC 212957629 (label=1) ... ok | 3/4 sec | 5.7 MB | 5.4 s
[249/1963] TIC 341805908 (label=0) ... ok | 3/3 sec | 6.0 MB | 5.6 s
[250/1963] TIC 96246348 (label=0) ... ok | 3/3 sec | 5.6 MB | 5.5 s
[251/1963] TIC 355867695 (label=1) ... ok | 3/7 sec | 5.9 MB | 6.1 s
[252/1963] TIC 318209162 (label=0) ... ok | 2/2 sec | 4.0 MB | 7.2 s
[253/1963] TIC 119584412 (label=1) ... ok | 2/2 sec | 4.0 MB | 3.8 s
